symbol,"ARMA(1, 1)","Robust ARMA(1, 1)"
DAL,0.013862653420100006,0.01413539227014306
DD,0.019305406795468615,0.01952812518250864
DDWD,,
DE,0.018227343554727986,0.017582689400410377
DFS,0.016159500913502566,0.015035985305103423
DG,0.01618906066636155,0.015922426230363492
DGX,0.018916997332656293,0.018760273372977386
DHI,0.01706086312013463,0.01670961128893261
DHR,0.01637438118309675,0.015999846601800115
DHRPRA,0.1506189978978777,0.14596689553241943
DHRPRB,0.25239766847591544,0.2467175123974205
DIS,0.016018930009286492,0.01582480675476977
DISH,0.022842246582234296,0.022528932215700247
DLR,0.016475000236054402,0.01624173483365187
DLRPRC,,
DLRPRJ,0.0693928555328047,0.06911701925642864
DLRPRK,0.0534556386854302,0.055057788831173377
DLRPRL,0.061062414098772305,0.06150465564881508
DLTR,0.023599681745974557,0.023907617151564323
DOV,0.020027189931565697,0.018927879313675712
DOW,0.013592701725312602,0.013843500064744689
DPZ,0.022084277214539812,0.02069216617569219
DRE,0.0186842326658388,0.017685488456455366
DRI,0.017861300625865665,0.017539285377330543
DTE,0.02043958033553731,0.02008881217599935
DTEWI,,
DUK,0.01445309868215156,0.013788006990682371
DUKPRA,0.03347690415891208,0.032229536561051424
DVA,0.01560220273251209,0.015785403481640807
DVN,0.015508470588681015,0.015546506766515715
DXC,0.021815571301500917,0.01988488653875341
DXCM,0.023311541953819744,0.02254687936474463
EA,0.018025314657447698,0.017941462872040206
EBAY,0.01601340771385963,0.015232839530974172
EBAYL,,
ECL,0.016757887770864465,0.015862453123637103
ED,0.019592415384643208,0.018363478080091467
EFX,0.02227757311059887,0.021452186315063407
EIX,0.01749036682923488,0.016999144552865487
EL,0.018076668178801637,0.017909343447325806
EMN,0.018107735183097873,0.01864629492404348
EMR,0.018000080104170934,0.01763562274875103
ENPH,0.019248300699801626,0.018498865223442663
EOG,0.015833308543077976,0.01583807641743949
EPAM,0.024407462526856095,0.02478009835939435
EQIX,0.01981898414991091,0.019498621977521214
EQR,0.017440069595985486,0.01668039104921586
ES,0.017521069592886615,0.016664524570014022
ESS,0.022163518670198498,0.022178092789129123
ETN,0.01697320213227421,0.016092887068192976
ETR,0.018795278509100084,0.018905506795289316
ETSY,0.01931175206421563,0.017773975784751823
EVRG,0.020767875758914936,0.020610533223867064
EW,0.01569693161258008,0.015394402371417325
EXC,0.014402195874524206,0.014052365363270139
EXPD,0.019730966357460723,0.018840502375046232
EXPE,0.0200864177068614,0.02006013459005553
EXR,0.020587367122868946,0.0189793107286205
F,0.01385921468057532,0.014272699121338913
FANG,0.018363541106167943,0.017633797166429696
FAST,0.01635740172904477,0.015146650822784005
FB,0.015426327558819746,0.01579158339523382
FBHS,0.02192867998234864,0.021871084564446096
FCX,0.014441114601637479,0.013896445884979403
FDS,0.021260451430481525,0.021023402144428147
FDX,0.014933578665579737,0.014605096860289052
FE,0.019147749608987134,0.01866538723827259
FFIV,0.023375756249490575,0.022897391986248693
FIS,0.01586369689628274,0.01618080459972965
FISV,0.015786961078985095,0.0159167487437126
FITB,0.013258179991070105,0.012910252921535512
FITBI,0.0363862996854066,0.03404975762553895
FITBO,0.03901044064499919,0.03952793168178529
FITBP,0.07652183930115519,0.07615020687826368
FLT,0.01916147962846888,0.01843925344261608
FMC,0.01805726781293943,0.01811814511504446
FOX,0.021716533043614,0.020380945712415208
FOXA,0.019255803659979278,0.018546569782881404
FPRB,0.03486099685440002,0.03375701962699138
FPRC,0.03957779992905959,0.037893569345272375
FRC,0.018809974496583802,0.01862227925905921
FRCPRG,,
FRCPRH,0.055582659407149265,0.055980222124864115
FRCPRI,0.056081020949636656,0.056206149693065255
FRCPRJ,0.04524019639006444,0.04399419413709535
FRCPRK,0.04709276691449144,0.048942295355534994
FRCPRL,0.054199006540206165,0.054482178909186836
FRCPRM,,
FRCPRN,,
FRT,0.01976795731420842,0.01975591784868375
FRTPRC,0.0887324570052737,0.08916734284041987
FTNT,0.019454081552538156,0.01851953930956169
FTV,0.021441548670001764,0.020780303513077046
FTVPRA,,
GD,0.01728388201488577,0.016382254922431706
GE,0.016225892723314105,0.015202555742953247
GILD,0.01391146525747796,0.013966703436552824
GIS,0.01842135297642045,0.017130340158977193
GL,0.02051233391212826,0.01997741627264389
GLPRC,,
GLPRD,,
GLW,0.016060576361521268,0.0161820902167488
GM,0.016062100789814026,0.015777566965399954
GNRC,0.01988933161039898,0.019310996716841985
GOOG,0.015935577527516672,0.015571612055037397
